url_length,domain_length,n_dots,n_hyphens,has_ip,has_at_symbol,has_double_slash,suspicious_tld,brand_kw_in_url,n_subdomains,url_entropy,special_char_count,path_depth,has_https,query_param_count,n_forms,n_iframes,n_external_links,n_password_inputs,n_hidden_inputs,n_scripts,n_meta_refresh,has_favicon,external_action,suspicious_js,title_length,html_length,min_brand_hamming,closest_brand_match,brand_color_score,dominant_hue,color_variance,red_ratio,green_ratio,blue_ratio,load_time_ms,status_code,fallback_used,capture_mode_browser,url,label
37,0,0,0,0,0,0,0,2,0,0.0,2,2,0,0,1,1,0,1,0,0,0,0,1,0,8,233,127,0.50390625,0.6558636199905727,0.8013630387050653,703.3896897567644,0.7959060968137255,0.8013298483455882,0.8068531709558824,0.0,0,1,0,example/paypal_login_clone/index.html,1
61,0,0,0,0,0,0,0,2,0,0.0,5,2,0,0,1,1,0,1,0,0,0,0,1,0,8,233,127,0.50390625,0.6558636199905727,0.8013630387050653,703.3896897567644,0.7959060968137255,0.8013298483455882,0.8068531709558824,0.0,0,1,0,example/Instagram-and-Facebook-login-page/facebook-login.html,1
42,0,0,0,0,0,0,0,2,0,0.0,3,2,0,0,1,1,0,1,0,0,0,0,1,0,8,233,127,0.50390625,0.6558636199905727,0.8013630387050653,703.3896897567644,0.7959060968137255,0.8013298483455882,0.8068531709558824,0.0,0,1,0,example/Google-login-page-clone/index.html,1
40,0,0,0,0,0,0,0,2,0,0.0,2,2,0,0,1,1,0,1,0,0,0,0,1,0,8,233,127,0.50390625,0.6558636199905727,0.8013630387050653,703.3896897567644,0.7959060968137255,0.8013298483455882,0.8068531709558824,0.0,0,1,0,example/microsoft-login-clone/index.html,1
101,17,1,0,0,0,0,0,1,0,3.6901165175936645,4,2,1,2,1,1,0,1,0,0,0,0,1,0,25,250,127,0.50390625,0.6558636199905727,0.8013630387050653,703.3896897567644,0.7959060968137255,0.8013298483455882,0.8068531709558824,0.0,0,1,0,https://stackoverflow.com/users/login?ssrc=head&returnurl=https%3a%2f%2fstackoverflow.com%2fquestions,1
68,14,2,0,0,0,0,0,1,1,3.0391486719030705,1,1,1,3,1,1,0,1,0,0,0,0,1,0,22,247,127,0.50390625,0.7809018253577429,0.3778033088235294,7056.307846069336,0.1714623544730392,0.3874952129289216,0.5744523590686275,0.0,0,1,0,https://www.paypal.com/signin?country.x=TH&locale.x=en_GB&langTgl=en,0
24,16,2,0,0,0,0,0,1,1,3.1556390622295662,0,0,1,0,1,1,0,1,0,0,0,0,1,0,24,249,127,0.50390625,0.9656542068883126,0.5740243949142156,8758.443337539831,0.23797200520833334,0.5434924555759804,0.9406087239583333,0.0,0,1,0,https://www.facebook.com,0
22,14,2,0,0,0,0,0,1,1,2.8423709931771084,0,0,1,0,1,1,0,1,0,0,0,0,1,0,22,247,127,0.50390625,0.9584564025221299,0.9764348447712418,453.4969872368708,0.9709779028799019,0.9764016544117647,0.9819249770220588,0.0,0,1,0,https://www.google.com,0
25,17,2,0,0,0,0,0,1,1,3.1751231351134606,0,0,1,0,1,1,0,1,0,0,0,0,1,0,25,250,127,0.50390625,0.8559105789601288,0.5210678998161765,8814.908094187578,0.1714623544730392,0.5466787300857843,0.8450626148897059,0.0,0,1,0,https://www.microsoft.com,0
25,17,1,0,0,0,0,0,0,0,3.6901165175936645,0,0,1,0,1,1,0,1,0,0,0,0,1,0,25,250,127,0.50390625,0.6558636199905727,0.8013630387050653,703.3896897567644,0.7959060968137255,0.8013298483455882,0.8068531709558824,0.0,0,1,0,https://stackoverflow.com,0
