url_length,domain_length,n_dots,n_hyphens,has_ip,has_at_symbol,has_double_slash,suspicious_tld,brand_kw_in_url,n_subdomains,url_entropy,special_char_count,path_depth,has_https,query_param_count,min_brand_hamming,closest_brand_match,brand_color_score,dominant_hue,color_variance,red_ratio,green_ratio,blue_ratio,n_forms,n_iframes,n_external_links,n_password_inputs,n_hidden_inputs,n_scripts,n_meta_refresh,has_favicon,external_action,suspicious_js,title_length,html_length,load_time_ms,status_code,url,label
37,0,0,0,0,0,0,0,2,0,0.0,2,2,0,0,127,0.50390625,0.9705335108610974,0.9835535386029411,568.3213098049164,0.9794194240196078,0.9816722196691177,0.9895689721200981,1,0,1,1,0,2,0,1,0,0,28,1992,39.2606258392334,200,example/paypal_login_clone/index.html,1
61,0,0,0,0,0,0,0,2,0,0.0,5,2,0,0,127,0.50390625,0.8010113269340746,0.8872922411151961,1945.8651844064395,0.8622472426470589,0.8832845052083333,0.9163449754901961,0,0,0,0,0,0,0,1,0,0,25,10027,12.472152709960938,200,example/Instagram-and-Facebook-login-page/facebook-login.html,1
26,0,0,0,0,0,0,0,1,0,0.0,1,1,0,0,127,0.50390625,0.6558636199905727,0.8013630387050653,703.3896897567644,0.7959060968137255,0.8013298483455882,0.8068531709558824,1,1,0,1,0,0,0,0,1,0,8,233,0.0,0,example/amazon-signin.html,1
42,0,0,0,0,0,0,0,2,0,0.0,3,2,0,0,127,0.50390625,0.9901585660795614,0.9945095486111112,81.71950520409479,0.9928289675245098,0.994305300245098,0.9963943780637254,0,0,0,0,0,0,0,0,0,0,32,1663,12.637853622436523,200,example/Google-login-page-clone/index.html,1
27,0,0,0,0,0,0,0,2,0,0.0,1,1,0,0,127,0.50390625,0.6558636199905727,0.8013630387050653,703.3896897567644,0.7959060968137255,0.8013298483455882,0.8068531709558824,1,1,0,1,0,0,0,0,1,0,8,233,0.0,0,example/appleid-verify.html,1
40,0,0,0,0,0,0,0,2,0,0.0,2,2,0,0,127,0.50390625,0.7984701969572483,0.8864369510825163,222.36897102329468,0.8984700520833333,0.9096382889093138,0.851202512254902,2,0,0,1,0,1,0,1,0,0,33,3650,14.718055725097656,200,example/microsoft-login-clone/index.html,1
35,0,0,0,0,0,0,0,1,0,0.0,2,1,0,0,127,0.50390625,0.6558636199905727,0.8013630387050653,703.3896897567644,0.7959060968137255,0.8013298483455882,0.8068531709558824,1,1,0,1,0,0,0,0,1,0,8,233,0.0,0,example/netflix-billing-review.html,1
31,0,0,0,0,0,0,0,1,0,0.0,1,1,0,0,127,0.50390625,0.6558636199905727,0.8013630387050653,703.3896897567644,0.7959060968137255,0.8013298483455882,0.8068531709558824,1,1,0,1,0,0,0,0,1,0,8,233,0.0,0,example/bankofamerica-auth.html,1
24,0,0,0,0,0,0,0,1,0,0.0,1,1,0,0,127,0.50390625,0.6558636199905727,0.8013630387050653,703.3896897567644,0.7959060968137255,0.8013298483455882,0.8068531709558824,1,1,0,1,0,0,0,0,1,0,8,233,0.0,0,example/paypal-demo.html,1
101,17,1,0,0,0,0,0,1,0,3.6901165175936645,4,2,1,2,127,0.50390625,0.8738823704740255,0.9274809793709151,921.2904688252343,0.9198127297794118,0.926819087009804,0.9358111213235294,5,1,30,2,19,58,0,1,0,2,23,206574,871.535062789917,200,https://stackoverflow.com/users/login?ssrc=head&returnurl=https%3a%2f%2fstackoverflow.com%2fquestions,1
